LANGUAGE_NAME,VALUE,SOURCE_NAME,ID,LANGUAGE_ID,FEATURE_ID,SOURCE
Abkhaz,None reported,Hewitt 1979,http://wals.info/valuesets/58B-abk,http://wals.info/languoid/lect/wals_code_abk,http://wals.info/feature/58B,http://wals.info/refdb/record/Hewitt-1979
Acoma,None reported,Miller 1965,http://wals.info/valuesets/58B-aco,http://wals.info/languoid/lect/wals_code_aco,http://wals.info/feature/58B,http://wals.info/refdb/record/Miller-1965
Ainu,None reported,Patrie 1982;Tamura 2000;Shibatani 1990,http://wals.info/valuesets/58B-ain,http://wals.info/languoid/lect/wals_code_ain,http://wals.info/feature/58B,http://wals.info/refdb/record/Patrie-1982;http://wals.info/refdb/record/Tamura-2000;http://wals.info/refdb/record/Shibatani-1990
Alamblak,None reported,Bruce 1984,http://wals.info/valuesets/58B-ala,http://wals.info/languoid/lect/wals_code_ala,http://wals.info/feature/58B,http://wals.info/refdb/record/Bruce-1984
Alawa,None reported,Sharpe 1972,http://wals.info/valuesets/58B-alw,http://wals.info/languoid/lect/wals_code_alw,http://wals.info/feature/58B,http://wals.info/refdb/record/Sharpe-1972
Amele,None reported,Roberts 1987,http://wals.info/valuesets/58B-ame,http://wals.info/languoid/lect/wals_code_ame,http://wals.info/feature/58B,http://wals.info/refdb/record/Roberts-1987
Amharic,None reported,Dillmann and Bezold 1907,http://wals.info/valuesets/58B-amh,http://wals.info/languoid/lect/wals_code_amh,http://wals.info/feature/58B,http://wals.info/refdb/record/Dillmann-and-Bezold-1907
Anêm,None reported,Thurston 1982,http://wals.info/valuesets/58B-ane,http://wals.info/languoid/lect/wals_code_ane,http://wals.info/feature/58B,http://wals.info/refdb/record/Thurston-1982
Apurinã,None reported,Facundes 2000,http://wals.info/valuesets/58B-apu,http://wals.info/languoid/lect/wals_code_apu,http://wals.info/feature/58B,http://wals.info/refdb/record/Facundes-2000
Arabic (Egyptian),None reported,Gary and Gamal-Eldin 1982,http://wals.info/valuesets/58B-aeg,http://wals.info/languoid/lect/wals_code_aeg,http://wals.info/feature/58B,http://wals.info/refdb/record/Gary-and-Gamal-Eldin-1982
Arapesh (Mountain),None reported,Conrad and Wogiga 1991,http://wals.info/valuesets/58B-arp,http://wals.info/languoid/lect/wals_code_arp,http://wals.info/feature/58B,http://wals.info/refdb/record/Conrad-and-Wogiga-1991
Armenian (Eastern),None reported,Tumanjan 1966,http://wals.info/valuesets/58B-arm,http://wals.info/languoid/lect/wals_code_arm,http://wals.info/feature/58B,http://wals.info/refdb/record/Tumanjan-1966
Arrernte (Mparntwe),None reported,Wilkins 1989,http://wals.info/valuesets/58B-amp,http://wals.info/languoid/lect/wals_code_amp,http://wals.info/feature/58B,http://wals.info/refdb/record/Wilkins-1989
Asmat,None reported,Voorhoeve 1965;Drabbe 1959a,http://wals.info/valuesets/58B-asm,http://wals.info/languoid/lect/wals_code_asm,http://wals.info/feature/58B,http://wals.info/refdb/record/Voorhoeve-1965;http://wals.info/refdb/record/Drabbe-1959a
Awa Pit,None reported,Curnow 1997,http://wals.info/valuesets/58B-awp,http://wals.info/languoid/lect/wals_code_awp,http://wals.info/feature/58B,http://wals.info/refdb/record/Curnow-1997
Awtuw,None reported,Feldman 1986,http://wals.info/valuesets/58B-awt,http://wals.info/languoid/lect/wals_code_awt,http://wals.info/feature/58B,http://wals.info/refdb/record/Feldman-1986
Aymara,None reported,Hardman 2001,http://wals.info/valuesets/58B-aym,http://wals.info/languoid/lect/wals_code_aym,http://wals.info/feature/58B,http://wals.info/refdb/record/Hardman-2001
Bagirmi,None reported,Stevenson 1969,http://wals.info/valuesets/58B-bag,http://wals.info/languoid/lect/wals_code_bag,http://wals.info/feature/58B,http://wals.info/refdb/record/Stevenson-1969
Barai,None reported,Olson 1979,http://wals.info/valuesets/58B-baa,http://wals.info/languoid/lect/wals_code_baa,http://wals.info/feature/58B,http://wals.info/refdb/record/Olson-1979
Barasano,None reported,Smith 1973;Jones and Jones 1991,http://wals.info/valuesets/58B-brs,http://wals.info/languoid/lect/wals_code_brs,http://wals.info/feature/58B,http://wals.info/refdb/record/Smith-1973;http://wals.info/refdb/record/Jones-and-Jones-1991
Basque,None reported,Lafitte 1962;Saltarelli et al. 1988;King 1993b,http://wals.info/valuesets/58B-bsq,http://wals.info/languoid/lect/wals_code_bsq,http://wals.info/feature/58B,http://wals.info/refdb/record/Lafitte-1962;http://wals.info/refdb/record/Saltarelli-et-al-1988;http://wals.info/refdb/record/King-1993b
Bauzi,None reported,Kuleti 1980,http://wals.info/valuesets/58B-bzi,http://wals.info/languoid/lect/wals_code_bzi,http://wals.info/feature/58B,http://wals.info/refdb/record/Kuleti-1980
