LANGUAGE_NAME,VALUE,SOURCE_NAME,ID,LANGUAGE_ID,FEATURE_ID,SOURCE
Abipón,No case-marking,Najlis 1966[59-60],http://wals.info/valuesets/50A-abi,http://wals.info/languoid/lect/wals_code_abi,http://wals.info/feature/50A,http://wals.info/refdb/record/Najlis-1966[59-60]
Abkhaz,Symmetrical,"Hewitt 1979[101, 161]",http://wals.info/valuesets/50A-abk,http://wals.info/languoid/lect/wals_code_abk,http://wals.info/feature/50A,"http://wals.info/refdb/record/Hewitt-1979[101, 161]"
Acoma,No case-marking,Maring 1967[49-53];Miller 1965[165-172],http://wals.info/valuesets/50A-aco,http://wals.info/languoid/lect/wals_code_aco,http://wals.info/feature/50A,http://wals.info/refdb/record/Maring-1967[49-53];http://wals.info/refdb/record/Miller-1965[165-172]
Ainu,Symmetrical,Tamura 2000[129-135];Refsing 1986[164-170],http://wals.info/valuesets/50A-ain,http://wals.info/languoid/lect/wals_code_ain,http://wals.info/feature/50A,http://wals.info/refdb/record/Tamura-2000[129-135];http://wals.info/refdb/record/Refsing-1986[164-170]
Alamblak,Symmetrical,"Bruce 1984[74, 115-117, 195-207]",http://wals.info/valuesets/50A-ala,http://wals.info/languoid/lect/wals_code_ala,http://wals.info/feature/50A,"http://wals.info/refdb/record/Bruce-1984[74, 115-117, 195-207]"
Albanian,Syncretism in relevant NP-types,"Buchholz and Fiedler 1987[223-226, 268-281]",http://wals.info/valuesets/50A-alb,http://wals.info/languoid/lect/wals_code_alb,http://wals.info/feature/50A,"http://wals.info/refdb/record/Buchholz-and-Fiedler-1987[223-226, 268-281]"
Aleut,Subtractive-quantitatively asymmetrical,"Bergsland 1997[47-50, 54, 56-58, 67-82, 126-127, 130-133, 138-139, 149-161]",http://wals.info/valuesets/50A-ale,http://wals.info/languoid/lect/wals_code_ale,http://wals.info/feature/50A,"http://wals.info/refdb/record/Bergsland-1997[47-50, 54, 56-58, 67-82, 126-127, 130-133, 138-139, 149-161]"
Amele,No case-marking,Roberts 1987[160-161],http://wals.info/valuesets/50A-ame,http://wals.info/languoid/lect/wals_code_ame,http://wals.info/feature/50A,http://wals.info/refdb/record/Roberts-1987[160-161]
Amharic,Symmetrical,"Leslau 1995[48, 181-190]",http://wals.info/valuesets/50A-amh,http://wals.info/languoid/lect/wals_code_amh,http://wals.info/feature/50A,"http://wals.info/refdb/record/Leslau-1995[48, 181-190]"
Apurinã,Symmetrical,Facundes 2000[391-396],http://wals.info/valuesets/50A-apu,http://wals.info/languoid/lect/wals_code_apu,http://wals.info/feature/50A,http://wals.info/refdb/record/Facundes-2000[391-396]
