LANGUAGE_NAME,VALUE,SOURCE_NAME,ID,LANGUAGE_ID,FEATURE_ID,SOURCE
Abipón,No inflectional future,"Bybee et al. 1994[252, 350, quoting Najlis 1966:37]",http://wals.info/valuesets/67A-abi,http://wals.info/languoid/lect/wals_code_abi,http://wals.info/feature/67A,"http://wals.info/refdb/record/Bybee-et-al-1994[252, 350, quoting Najlis 1966:37]"
Abkhaz,Inflectional future exists,Lomtatidze 1967b[114],http://wals.info/valuesets/67A-abk,http://wals.info/languoid/lect/wals_code_abk,http://wals.info/feature/67A,http://wals.info/refdb/record/Lomtatidze-1967b[114]
Acoma,No inflectional future,Miller 1965,http://wals.info/valuesets/67A-aco,http://wals.info/languoid/lect/wals_code_aco,http://wals.info/feature/67A,http://wals.info/refdb/record/Miller-1965
Afrikaans,No inflectional future,Dahl 1985[166],http://wals.info/valuesets/67A-afr,http://wals.info/languoid/lect/wals_code_afr,http://wals.info/feature/67A,http://wals.info/refdb/record/Dahl-1985[166]
Ainu,No inflectional future,Refsing 1986,http://wals.info/valuesets/67A-ain,http://wals.info/languoid/lect/wals_code_ain,http://wals.info/feature/67A,http://wals.info/refdb/record/Refsing-1986
Akan,Inflectional future exists,Dahl 1985[179],http://wals.info/valuesets/67A-akn,http://wals.info/languoid/lect/wals_code_akn,http://wals.info/feature/67A,http://wals.info/refdb/record/Dahl-1985[179]
Alamblak,Inflectional future exists,Bruce 1984[133-134],http://wals.info/valuesets/67A-ala,http://wals.info/languoid/lect/wals_code_ala,http://wals.info/feature/67A,http://wals.info/refdb/record/Bruce-1984[133-134]
Alawa,Inflectional future exists,Dahl 1985[159],http://wals.info/valuesets/67A-alw,http://wals.info/languoid/lect/wals_code_alw,http://wals.info/feature/67A,http://wals.info/refdb/record/Dahl-1985[159]
Alyawarra,Inflectional future exists,,http://wals.info/valuesets/67A-aly,http://wals.info/languoid/lect/wals_code_aly,http://wals.info/feature/67A,
Amele,Inflectional future exists,Roberts 1987[229],http://wals.info/valuesets/67A-ame,http://wals.info/languoid/lect/wals_code_ame,http://wals.info/feature/67A,http://wals.info/refdb/record/Roberts-1987[229]
Amharic,No inflectional future,Dahl 1985[156],http://wals.info/valuesets/67A-amh,http://wals.info/languoid/lect/wals_code_amh,http://wals.info/feature/67A,http://wals.info/refdb/record/Dahl-1985[156]
Apurinã,Inflectional future exists,Facundes 2000[517],http://wals.info/valuesets/67A-apu,http://wals.info/languoid/lect/wals_code_apu,http://wals.info/feature/67A,http://wals.info/refdb/record/Facundes-2000[517]
Arabic (Egyptian),Inflectional future exists,Eisele 1999,http://wals.info/valuesets/67A-aeg,http://wals.info/languoid/lect/wals_code_aeg,http://wals.info/feature/67A,http://wals.info/refdb/record/Eisele-1999
Arabic (Tunisian),No inflectional future,Dahl 1985[155],http://wals.info/valuesets/67A-atu,http://wals.info/languoid/lect/wals_code_atu,http://wals.info/feature/67A,http://wals.info/refdb/record/Dahl-1985[155]
Araona,No inflectional future,Pitman 1980,http://wals.info/valuesets/67A-ana,http://wals.info/languoid/lect/wals_code_ana,http://wals.info/feature/67A,http://wals.info/refdb/record/Pitman-1980
Arapesh (Mountain),Inflectional future exists,Conrad and Wogiga 1991[17],http://wals.info/valuesets/67A-arp,http://wals.info/languoid/lect/wals_code_arp,http://wals.info/feature/67A,http://wals.info/refdb/record/Conrad-and-Wogiga-1991[17]
Armenian (Eastern),No inflectional future,,http://wals.info/valuesets/67A-arm,http://wals.info/languoid/lect/wals_code_arm,http://wals.info/feature/67A,
Asmat,Inflectional future exists,Voorhoeve 1965[92];Drabbe 1963[46],http://wals.info/valuesets/67A-asm,http://wals.info/languoid/lect/wals_code_asm,http://wals.info/feature/67A,http://wals.info/refdb/record/Voorhoeve-1965[92];http://wals.info/refdb/record/Drabbe-1963[46]
Atchin,No inflectional future,"Bybee et al. 1994[252, 350, quoting Capell and Layard 1980:75ff and passim]",http://wals.info/valuesets/67A-atc,http://wals.info/languoid/lect/wals_code_atc,http://wals.info/feature/67A,"http://wals.info/refdb/record/Bybee-et-al-1994[252, 350, quoting Capell and Layard 1980:75ff and passim]"
Avokaya,No inflectional future,,http://wals.info/valuesets/67A-avo,http://wals.info/languoid/lect/wals_code_avo,http://wals.info/feature/67A,
Awa Pit,Inflectional future exists,Curnow 1997[176],http://wals.info/valuesets/67A-awp,http://wals.info/languoid/lect/wals_code_awp,http://wals.info/feature/67A,http://wals.info/refdb/record/Curnow-1997[176]
Awngi,Inflectional future exists,,http://wals.info/valuesets/67A-awn,http://wals.info/languoid/lect/wals_code_awn,http://wals.info/feature/67A,
Azerbaijani,Inflectional future exists,Dahl 1985[159-160],http://wals.info/valuesets/67A-aze,http://wals.info/languoid/lect/wals_code_aze,http://wals.info/feature/67A,http://wals.info/refdb/record/Dahl-1985[159-160]
Bagirmi,No inflectional future,Stevenson 1969,http://wals.info/valuesets/67A-bag,http://wals.info/languoid/lect/wals_code_bag,http://wals.info/feature/67A,http://wals.info/refdb/record/Stevenson-1969
Baining,Inflectional future exists,,http://wals.info/valuesets/67A-bng,http://wals.info/languoid/lect/wals_code_bng,http://wals.info/feature/67A,
Baluchi,Inflectional future exists,,http://wals.info/valuesets/67A-blc,http://wals.info/languoid/lect/wals_code_blc,http://wals.info/feature/67A,
Bandjalang,Inflectional future exists,Dahl 1985[159],http://wals.info/valuesets/67A-bnj,http://wals.info/languoid/lect/wals_code_bnj,http://wals.info/feature/67A,http://wals.info/refdb/record/Dahl-1985[159]
Barasano,No inflectional future,Jones and Jones 1991,http://wals.info/valuesets/67A-brs,http://wals.info/languoid/lect/wals_code_brs,http://wals.info/feature/67A,http://wals.info/refdb/record/Jones-and-Jones-1991
Bari,No inflectional future,"Bybee et al. 1994[252, 350, quoting Spagnolo 1933:105]",http://wals.info/valuesets/67A-bar,http://wals.info/languoid/lect/wals_code_bar,http://wals.info/feature/67A,"http://wals.info/refdb/record/Bybee-et-al-1994[252, 350, quoting Spagnolo 1933:105]"
Basque,Inflectional future exists,"Bybee et al. 1994[252, 350, quoting N'Diaye 1970:211-12]",http://wals.info/valuesets/67A-bsq,http://wals.info/languoid/lect/wals_code_bsq,http://wals.info/feature/67A,"http://wals.info/refdb/record/Bybee-et-al-1994[252, 350, quoting N'Diaye 1970:211-12]"
Beja,No inflectional future,Dahl 1985[154-155],http://wals.info/valuesets/67A-bej,http://wals.info/languoid/lect/wals_code_bej,http://wals.info/feature/67A,http://wals.info/refdb/record/Dahl-1985[154-155]
Bengali,Inflectional future exists,Dahl 1985[167],http://wals.info/valuesets/67A-ben,http://wals.info/languoid/lect/wals_code_ben,http://wals.info/feature/67A,http://wals.info/refdb/record/Dahl-1985[167]
Berber (Middle Atlas),No inflectional future,Penchoen 1973b,http://wals.info/valuesets/67A-bma,http://wals.info/languoid/lect/wals_code_bma,http://wals.info/feature/67A,http://wals.info/refdb/record/Penchoen-1973b
Bongu,Inflectional future exists,"Bybee et al. 1994[254, 351, quoting Hanke 1909:52-53, 66, 87]",http://wals.info/valuesets/67A-bon,http://wals.info/languoid/lect/wals_code_bon,http://wals.info/feature/67A,"http://wals.info/refdb/record/Bybee-et-al-1994[254, 351, quoting Hanke 1909:52-53, 66, 87]"
Brahui,No inflectional future,Andronov 1980,http://wals.info/valuesets/67A-brh,http://wals.info/languoid/lect/wals_code_brh,http://wals.info/feature/67A,http://wals.info/refdb/record/Andronov-1980
Bulgarian,No inflectional future,Dahl 1985[172],http://wals.info/valuesets/67A-bul,http://wals.info/languoid/lect/wals_code_bul,http://wals.info/feature/67A,http://wals.info/refdb/record/Dahl-1985[172]
Buli (in Indonesia),Inflectional future exists,"Bybee et al. 1994[252, 350, quoting Maan 1951]",http://wals.info/valuesets/67A-bui,http://wals.info/languoid/lect/wals_code_bui,http://wals.info/feature/67A,"http://wals.info/refdb/record/Bybee-et-al-1994[252, 350, quoting Maan 1951]"
Buriat,No inflectional future,Bybee et al. 1994,http://wals.info/valuesets/67A-but,http://wals.info/languoid/lect/wals_code_but,http://wals.info/feature/67A,http://wals.info/refdb/record/Bybee-et-al-1994
Burmese,No inflectional future,Bybee et al. 1994;Okell 1969,http://wals.info/valuesets/67A-brm,http://wals.info/languoid/lect/wals_code_brm,http://wals.info/feature/67A,http://wals.info/refdb/record/Bybee-et-al-1994;http://wals.info/refdb/record/Okell-1969
Burushaski,Inflectional future exists,"Berger 1998[142, 160]",http://wals.info/valuesets/67A-bur,http://wals.info/languoid/lect/wals_code_bur,http://wals.info/feature/67A,"http://wals.info/refdb/record/Berger-1998[142, 160]"
Canela-Krahô,No inflectional future,Popjes and Popjes 1986,http://wals.info/valuesets/67A-ckr,http://wals.info/languoid/lect/wals_code_ckr,http://wals.info/feature/67A,http://wals.info/refdb/record/Popjes-and-Popjes-1986
Cantonese,No inflectional future,"Bybee et al. 1994[252, 350, quoting Kwok 1971:114]",http://wals.info/valuesets/67A-cnt,http://wals.info/languoid/lect/wals_code_cnt,http://wals.info/feature/67A,"http://wals.info/refdb/record/Bybee-et-al-1994[252, 350, quoting Kwok 1971:114]"
