LANGUAGE_NAME,VALUE,SOURCE_NAME,ID,LANGUAGE_ID,FEATURE_ID,SOURCE
Abipón,Average,Najlis 1966,http://wals.info/valuesets/3A-abi,http://wals.info/languoid/lect/wals_code_abi,http://wals.info/feature/3A,http://wals.info/refdb/record/Najlis-1966
Abkhaz,High,Hewitt 1979,http://wals.info/valuesets/3A-abk,http://wals.info/languoid/lect/wals_code_abk,http://wals.info/feature/3A,http://wals.info/refdb/record/Hewitt-1979
Aché,Moderately low,Susnik 1974,http://wals.info/valuesets/3A-ach,http://wals.info/languoid/lect/wals_code_ach,http://wals.info/feature/3A,http://wals.info/refdb/record/Susnik-1974
Achumawi,Average,Olmsted 1964;Olmsted 1966,http://wals.info/valuesets/3A-acm,http://wals.info/languoid/lect/wals_code_acm,http://wals.info/feature/3A,http://wals.info/refdb/record/Olmsted-1964;http://wals.info/refdb/record/Olmsted-1966
Acoma,High,Miller 1966,http://wals.info/valuesets/3A-aco,http://wals.info/languoid/lect/wals_code_aco,http://wals.info/feature/3A,http://wals.info/refdb/record/Miller-1966
Adzera,Moderately high,Holzknecht 1973,http://wals.info/valuesets/3A-adz,http://wals.info/languoid/lect/wals_code_adz,http://wals.info/feature/3A,http://wals.info/refdb/record/Holzknecht-1973
Aghem,Moderately low,Hyman 1979,http://wals.info/valuesets/3A-agh,http://wals.info/languoid/lect/wals_code_agh,http://wals.info/feature/3A,http://wals.info/refdb/record/Hyman-1979
Ahtna,Moderately high,Kari 1990,http://wals.info/valuesets/3A-aht,http://wals.info/languoid/lect/wals_code_aht,http://wals.info/feature/3A,http://wals.info/refdb/record/Kari-1990
Aikaná,Average,Hanke 1956;Aikhenvald and Dixon 1999[362-363],http://wals.info/valuesets/3A-aik,http://wals.info/languoid/lect/wals_code_aik,http://wals.info/feature/3A,http://wals.info/refdb/record/Hanke-1956;http://wals.info/refdb/record/Aikhenvald-and-Dixon-1999[362-363]
Ainu,Moderately low,Patrie 1982;Simeon 1969,http://wals.info/valuesets/3A-ain,http://wals.info/languoid/lect/wals_code_ain,http://wals.info/feature/3A,http://wals.info/refdb/record/Patrie-1982;http://wals.info/refdb/record/Simeon-1969
Aizi,Moderately low,Herault 1971,http://wals.info/valuesets/3A-aiz,http://wals.info/languoid/lect/wals_code_aiz,http://wals.info/feature/3A,http://wals.info/refdb/record/Herault-1971
Akan,Moderately low,Dolphyne 1988;Ladefoged 1964;Schachter and Fromkin 1968;Stewart 1967;Welmers 1946,http://wals.info/valuesets/3A-akn,http://wals.info/languoid/lect/wals_code_akn,http://wals.info/feature/3A,http://wals.info/refdb/record/Dolphyne-1988;http://wals.info/refdb/record/Ladefoged-1964;http://wals.info/refdb/record/Schachter-and-Fromkin-1968;http://wals.info/refdb/record/Stewart-1967;http://wals.info/refdb/record/Welmers-1946
Akawaio,Low,Edwards 1978,http://wals.info/valuesets/3A-akw,http://wals.info/languoid/lect/wals_code_akw,http://wals.info/feature/3A,http://wals.info/refdb/record/Edwards-1978
Alabama,Moderately high,Rand 1968,http://wals.info/valuesets/3A-abm,http://wals.info/languoid/lect/wals_code_abm,http://wals.info/feature/3A,http://wals.info/refdb/record/Rand-1968
Alamblak,Moderately low,Bruce 1984,http://wals.info/valuesets/3A-ala,http://wals.info/languoid/lect/wals_code_ala,http://wals.info/feature/3A,http://wals.info/refdb/record/Bruce-1984
Alawa,Moderately high,Sharpe 1972,http://wals.info/valuesets/3A-alw,http://wals.info/languoid/lect/wals_code_alw,http://wals.info/feature/3A,http://wals.info/refdb/record/Sharpe-1972
Albanian,Average,Newmark 1957,http://wals.info/valuesets/3A-alb,http://wals.info/languoid/lect/wals_code_alb,http://wals.info/feature/3A,http://wals.info/refdb/record/Newmark-1957
Aleut (Eastern),High,Bergsland 1994;Cho et al. 1997;Jacobson 1944;Menovshchikov 1968;Rozelle 1997;Bergsland 1956;Bergsland 1959,http://wals.info/valuesets/3A-aea,http://wals.info/languoid/lect/wals_code_aea,http://wals.info/feature/3A,http://wals.info/refdb/record/Bergsland-1994;http://wals.info/refdb/record/Cho-et-al-1997;http://wals.info/refdb/record/Jacobson-1944;http://wals.info/refdb/record/Menovshchikov-1968;http://wals.info/refdb/record/Rozelle-1997;http://wals.info/refdb/record/Bergsland-1956;http://wals.info/refdb/record/Bergsland-1959
Alladian,Average,Dumestre and Duponchel 1971;Duponchel 1971,http://wals.info/valuesets/3A-ald,http://wals.info/languoid/lect/wals_code_ald,http://wals.info/feature/3A,http://wals.info/refdb/record/Dumestre-and-Duponchel-1971;http://wals.info/refdb/record/Duponchel-1971
Amahuaca,Average,Osborn 1948,http://wals.info/valuesets/3A-amc,http://wals.info/languoid/lect/wals_code_amc,http://wals.info/feature/3A,http://wals.info/refdb/record/Osborn-1948
Amele,Average,Roberts 1987,http://wals.info/valuesets/3A-ame,http://wals.info/languoid/lect/wals_code_ame,http://wals.info/feature/3A,http://wals.info/refdb/record/Roberts-1987
Amharic,Moderately high,Hayward and Hayward 1999,http://wals.info/valuesets/3A-amh,http://wals.info/languoid/lect/wals_code_amh,http://wals.info/feature/3A,http://wals.info/refdb/record/Hayward-and-Hayward-1999
Amo,Moderately low,Anderson 1980;Di Luzio 1972,http://wals.info/valuesets/3A-amo,http://wals.info/languoid/lect/wals_code_amo,http://wals.info/feature/3A,http://wals.info/refdb/record/Anderson-1980;http://wals.info/refdb/record/Di-Luzio-1972
