LANGUAGE_NAME,VALUE,SOURCE_NAME,ID,LANGUAGE_ID,FEATURE_ID,SOURCE
Abkhaz,Highly differentiated,,http://wals.info/valuesets/60A-abk,http://wals.info/languoid/lect/wals_code_abk,http://wals.info/feature/60A,
Abun,Highly differentiated,Berry and Berry 1999[92-93],http://wals.info/valuesets/60A-abu,http://wals.info/languoid/lect/wals_code_abu,http://wals.info/feature/60A,http://wals.info/refdb/record/Berry-and-Berry-1999[92-93]
Ainu,Adjectives and relative clauses collapsed,Refsing 1986,http://wals.info/valuesets/60A-ain,http://wals.info/languoid/lect/wals_code_ain,http://wals.info/feature/60A,http://wals.info/refdb/record/Refsing-1986
Alagwa,Highly differentiated,,http://wals.info/valuesets/60A-agw,http://wals.info/languoid/lect/wals_code_agw,http://wals.info/feature/60A,
Albanian,Highly differentiated,,http://wals.info/valuesets/60A-alb,http://wals.info/languoid/lect/wals_code_alb,http://wals.info/feature/60A,
Amele,Adjectives and relative clauses collapsed,Roberts 1987,http://wals.info/valuesets/60A-ame,http://wals.info/languoid/lect/wals_code_ame,http://wals.info/feature/60A,http://wals.info/refdb/record/Roberts-1987
Athpare,Highly differentiated,Ebert 1997b,http://wals.info/valuesets/60A-ath,http://wals.info/languoid/lect/wals_code_ath,http://wals.info/feature/60A,http://wals.info/refdb/record/Ebert-1997b
Avar,Highly differentiated,,http://wals.info/valuesets/60A-ava,http://wals.info/languoid/lect/wals_code_ava,http://wals.info/feature/60A,
Bagvalal,Highly differentiated,Kibrik 2001[155-159],http://wals.info/valuesets/60A-bgv,http://wals.info/languoid/lect/wals_code_bgv,http://wals.info/feature/60A,http://wals.info/refdb/record/Kibrik-2001[155-159]
Balinese,Adjectives and relative clauses collapsed,,http://wals.info/valuesets/60A-bal,http://wals.info/languoid/lect/wals_code_bal,http://wals.info/feature/60A,
Baré,Highly differentiated,Aikhenvald 1996,http://wals.info/valuesets/60A-bae,http://wals.info/languoid/lect/wals_code_bae,http://wals.info/feature/60A,http://wals.info/refdb/record/Aikhenvald-1996
Basque,Highly differentiated,,http://wals.info/valuesets/60A-bsq,http://wals.info/languoid/lect/wals_code_bsq,http://wals.info/feature/60A,
Batak (Karo),Moderately differentiated in other ways,Woollams 1996,http://wals.info/valuesets/60A-bkr,http://wals.info/languoid/lect/wals_code_bkr,http://wals.info/feature/60A,http://wals.info/refdb/record/Woollams-1996
Begak-Ida'an,Weakly differentiated,,http://wals.info/valuesets/60A-beg,http://wals.info/languoid/lect/wals_code_beg,http://wals.info/feature/60A,
Belhare,Highly differentiated,,http://wals.info/valuesets/60A-bel,http://wals.info/languoid/lect/wals_code_bel,http://wals.info/feature/60A,
