LANGUAGE_NAME,VALUE,SOURCE_NAME,ID,LANGUAGE_ID,FEATURE_ID,SOURCE
Abkhaz,Special imperative + normal negative,"Hewitt 1989a[57];Hewitt and Khiba 1979[70, 189]",http://wals.info/valuesets/71A-abk,http://wals.info/languoid/lect/wals_code_abk,http://wals.info/feature/71A,"http://wals.info/refdb/record/Hewitt-1989a[57];http://wals.info/refdb/record/Hewitt-and-Khiba-1979[70, 189]"
Acehnese,Normal imperative + special negative,"Durie 1985[29, passim]",http://wals.info/valuesets/71A-ace,http://wals.info/languoid/lect/wals_code_ace,http://wals.info/feature/71A,"http://wals.info/refdb/record/Durie-1985[29, passim]"
Acholi,Special imperative + special negative,Crazzolara 1938[121],http://wals.info/valuesets/71A-acl,http://wals.info/languoid/lect/wals_code_acl,http://wals.info/feature/71A,http://wals.info/refdb/record/Crazzolara-1938[121]
Achuar,Special imperative + special negative,"Fast and Fast 1981[68, 93]",http://wals.info/valuesets/71A-acu,http://wals.info/languoid/lect/wals_code_acu,http://wals.info/feature/71A,"http://wals.info/refdb/record/Fast-and-Fast-1981[68, 93]"
Acoma,Normal imperative + special negative,Miller 1965[123],http://wals.info/valuesets/71A-aco,http://wals.info/languoid/lect/wals_code_aco,http://wals.info/feature/71A,http://wals.info/refdb/record/Miller-1965[123]
Agarabi,Normal imperative + special negative,Goddard 1976[10],http://wals.info/valuesets/71A-aga,http://wals.info/languoid/lect/wals_code_aga,http://wals.info/feature/71A,http://wals.info/refdb/record/Goddard-1976[10]
Aguacatec,Normal imperative + special negative,McArthur and McArthur 1966[227],http://wals.info/valuesets/71A-agu,http://wals.info/languoid/lect/wals_code_agu,http://wals.info/feature/71A,http://wals.info/refdb/record/McArthur-and-McArthur-1966[227]
Ainu,Normal imperative + special negative,Refsing 1986[138];Shibatani 1990[82];Tamura 2000[passim],http://wals.info/valuesets/71A-ain,http://wals.info/languoid/lect/wals_code_ain,http://wals.info/feature/71A,http://wals.info/refdb/record/Refsing-1986[138];http://wals.info/refdb/record/Shibatani-1990[82];http://wals.info/refdb/record/Tamura-2000[passim]
Akan,Normal imperative + normal negative,Christaller 1875[60],http://wals.info/valuesets/71A-akn,http://wals.info/languoid/lect/wals_code_akn,http://wals.info/feature/71A,http://wals.info/refdb/record/Christaller-1875[60]
Alamblak,Special imperative + special negative,Bruce 1984[140],http://wals.info/valuesets/71A-ala,http://wals.info/languoid/lect/wals_code_ala,http://wals.info/feature/71A,http://wals.info/refdb/record/Bruce-1984[140]
Albanian,Normal imperative + special negative,"Buchholz and Fiedler 1987[171-172];Newmark et al. 1982[56-57, 318]",http://wals.info/valuesets/71A-alb,http://wals.info/languoid/lect/wals_code_alb,http://wals.info/feature/71A,"http://wals.info/refdb/record/Buchholz-and-Fiedler-1987[171-172];http://wals.info/refdb/record/Newmark-et-al-1982[56-57, 318]"
Amele,Special imperative + special negative,"Roberts 1987[49, 110]",http://wals.info/valuesets/71A-ame,http://wals.info/languoid/lect/wals_code_ame,http://wals.info/feature/71A,"http://wals.info/refdb/record/Roberts-1987[49, 110]"
Amharic,Special imperative + special negative,"Leslau 1995[348-349, 353, 824-825];Bentolila and Shimelis 1998[173]",http://wals.info/valuesets/71A-amh,http://wals.info/languoid/lect/wals_code_amh,http://wals.info/feature/71A,"http://wals.info/refdb/record/Leslau-1995[348-349, 353, 824-825];http://wals.info/refdb/record/Bentolila-and-Shimelis-1998[173]"
Amo,Special imperative + normal negative,Di Luzio 1972[42-43],http://wals.info/valuesets/71A-amo,http://wals.info/languoid/lect/wals_code_amo,http://wals.info/feature/71A,http://wals.info/refdb/record/Di-Luzio-1972[42-43]
Angolar,Normal imperative + normal negative,Maurer 1995[140];Lorenzino 1998[181],http://wals.info/valuesets/71A-ago,http://wals.info/languoid/lect/wals_code_ago,http://wals.info/feature/71A,http://wals.info/refdb/record/Maurer-1995[140];http://wals.info/refdb/record/Lorenzino-1998[181]
Anufo,Normal imperative + special negative,Stanford and Stanford 1970[32],http://wals.info/valuesets/71A-anu,http://wals.info/languoid/lect/wals_code_anu,http://wals.info/feature/71A,http://wals.info/refdb/record/Stanford-and-Stanford-1970[32]
Ao,Normal imperative + special negative,"Gurubasave 1975[46, 54]",http://wals.info/valuesets/71A-ao,http://wals.info/languoid/lect/wals_code_ao,http://wals.info/feature/71A,"http://wals.info/refdb/record/Gurubasave-1975[46, 54]"
Apalaí,Normal imperative + normal negative,"Koehn and Koehn 1986[62, 64-65]",http://wals.info/valuesets/71A-apl,http://wals.info/languoid/lect/wals_code_apl,http://wals.info/feature/71A,"http://wals.info/refdb/record/Koehn-and-Koehn-1986[62, 64-65]"
Apatani,Special imperative + special negative,Abraham 1985[103],http://wals.info/valuesets/71A-apt,http://wals.info/languoid/lect/wals_code_apt,http://wals.info/feature/71A,http://wals.info/refdb/record/Abraham-1985[103]
Arabic (Abbéché Chad),Special imperative + normal negative,Abu-Absi 1995[33],http://wals.info/valuesets/71A-abb,http://wals.info/languoid/lect/wals_code_abb,http://wals.info/feature/71A,http://wals.info/refdb/record/Abu-Absi-1995[33]
Arabic (Egyptian),Special imperative + normal negative,Gary and Gamal-Eldin 1982[38-39],http://wals.info/valuesets/71A-aeg,http://wals.info/languoid/lect/wals_code_aeg,http://wals.info/feature/71A,http://wals.info/refdb/record/Gary-and-Gamal-Eldin-1982[38-39]
Arabic (Gulf),Normal imperative + special negative,Holes 1990[72],http://wals.info/valuesets/71A-arg,http://wals.info/languoid/lect/wals_code_arg,http://wals.info/feature/71A,http://wals.info/refdb/record/Holes-1990[72]
Arabic (Moroccan),Special imperative + normal negative,Caubet 1993[162];Marçais 1977[275-279],http://wals.info/valuesets/71A-amr,http://wals.info/languoid/lect/wals_code_amr,http://wals.info/feature/71A,http://wals.info/refdb/record/Caubet-1993[162];http://wals.info/refdb/record/Marcais-1977[275-279]
Arabic (North Levantine Spoken),Special imperative + normal negative,Mitchell and Al-Hassan 1994[33],http://wals.info/valuesets/71A-anl,http://wals.info/languoid/lect/wals_code_anl,http://wals.info/feature/71A,http://wals.info/refdb/record/Mitchell-and-Al-Hassan-1994[33]
Arabic (Palestinian),Normal imperative + normal negative,Shahin 1995[30-31],http://wals.info/valuesets/71A-apa,http://wals.info/languoid/lect/wals_code_apa,http://wals.info/feature/71A,http://wals.info/refdb/record/Shahin-1995[30-31]
Arabic (San'ani),Special imperative + special negative,Watson 1993[76],http://wals.info/valuesets/71A-ars,http://wals.info/languoid/lect/wals_code_ars,http://wals.info/feature/71A,http://wals.info/refdb/record/Watson-1993[76]
Araki,Normal imperative + special negative,François 2002,http://wals.info/valuesets/71A-ark,http://wals.info/languoid/lect/wals_code_ark,http://wals.info/feature/71A,http://wals.info/refdb/record/Francois-2002
Araona,Special imperative + special negative,Pitman 1980[36-37],http://wals.info/valuesets/71A-ana,http://wals.info/languoid/lect/wals_code_ana,http://wals.info/feature/71A,http://wals.info/refdb/record/Pitman-1980[36-37]
Arapesh (Mountain),Normal imperative + special negative,"Fortune 1942[77];Conrad and Wogiga 1991[43, 129]",http://wals.info/valuesets/71A-arp,http://wals.info/languoid/lect/wals_code_arp,http://wals.info/feature/71A,"http://wals.info/refdb/record/Fortune-1942[77];http://wals.info/refdb/record/Conrad-and-Wogiga-1991[43, 129]"
Armenian (Eastern),Normal imperative + special negative,Kozintseva 2001[249];Kozintseva 1995[49-50],http://wals.info/valuesets/71A-arm,http://wals.info/languoid/lect/wals_code_arm,http://wals.info/feature/71A,http://wals.info/refdb/record/Kozintseva-2001[249];http://wals.info/refdb/record/Kozintseva-1995[49-50]
Athpare,Special imperative + normal negative,Ebert 1997b[65],http://wals.info/valuesets/71A-ath,http://wals.info/languoid/lect/wals_code_ath,http://wals.info/feature/71A,http://wals.info/refdb/record/Ebert-1997b[65]
Au,Normal imperative + normal negative,"Scorza 1985[244, 256-257]",http://wals.info/valuesets/71A-au,http://wals.info/languoid/lect/wals_code_au,http://wals.info/feature/71A,"http://wals.info/refdb/record/Scorza-1985[244, 256-257]"
Avar,Normal imperative + special negative,Charachidzé 1981[105-106],http://wals.info/valuesets/71A-ava,http://wals.info/languoid/lect/wals_code_ava,http://wals.info/feature/71A,http://wals.info/refdb/record/Charachidze-1981[105-106]
Awa Pit,Special imperative + special negative,Curnow 1997[243-247],http://wals.info/valuesets/71A-awp,http://wals.info/languoid/lect/wals_code_awp,http://wals.info/feature/71A,http://wals.info/refdb/record/Curnow-1997[243-247]
Aymara,Normal imperative + special negative,Grondin 1973[passim],http://wals.info/valuesets/71A-aym,http://wals.info/languoid/lect/wals_code_aym,http://wals.info/feature/71A,http://wals.info/refdb/record/Grondin-1973[passim]
