LANGUAGE_NAME,VALUE,SOURCE_NAME,ID,LANGUAGE_ID,FEATURE_ID,SOURCE
Abkhaz,Sex-based,"Hewitt 1979[101-103, 152, 157]",http://wals.info/valuesets/31A-abk,http://wals.info/languoid/lect/wals_code_abk,http://wals.info/feature/31A,"http://wals.info/refdb/record/Hewitt-1979[101-103, 152, 157]"
Acoma,No gender,Maring 1967;Miller 1965,http://wals.info/valuesets/31A-aco,http://wals.info/languoid/lect/wals_code_aco,http://wals.info/feature/31A,http://wals.info/refdb/record/Maring-1967;http://wals.info/refdb/record/Miller-1965
Ainu,No gender,"Refsing 1986[22, 81]",http://wals.info/valuesets/31A-ain,http://wals.info/languoid/lect/wals_code_ain,http://wals.info/feature/31A,"http://wals.info/refdb/record/Refsing-1986[22, 81]"
Alagwa,Sex-based,Mous n.d.,http://wals.info/valuesets/31A-agw,http://wals.info/languoid/lect/wals_code_agw,http://wals.info/feature/31A,http://wals.info/refdb/record/Mous-nd
Alamblak,Sex-based,"Bruce 1984[75, 96-98, 149]",http://wals.info/valuesets/31A-ala,http://wals.info/languoid/lect/wals_code_ala,http://wals.info/feature/31A,"http://wals.info/refdb/record/Bruce-1984[75, 96-98, 149]"
Aleut,No gender,Bergsland 1997,http://wals.info/valuesets/31A-ale,http://wals.info/languoid/lect/wals_code_ale,http://wals.info/feature/31A,http://wals.info/refdb/record/Bergsland-1997
Amele,No gender,Roberts 1987[203],http://wals.info/valuesets/31A-ame,http://wals.info/languoid/lect/wals_code_ame,http://wals.info/feature/31A,http://wals.info/refdb/record/Roberts-1987[203]
Amharic,Sex-based,Leslau 1995[161-169],http://wals.info/valuesets/31A-amh,http://wals.info/languoid/lect/wals_code_amh,http://wals.info/feature/31A,http://wals.info/refdb/record/Leslau-1995[161-169]
Apurinã,Sex-based,"Facundes 2000[145-148, 222-232]",http://wals.info/valuesets/31A-apu,http://wals.info/languoid/lect/wals_code_apu,http://wals.info/feature/31A,"http://wals.info/refdb/record/Facundes-2000[145-148, 222-232]"
Arabana,No gender,Hercus 1994,http://wals.info/valuesets/31A-abn,http://wals.info/languoid/lect/wals_code_abn,http://wals.info/feature/31A,http://wals.info/refdb/record/Hercus-1994
