LANGUAGE_NAME,VALUE,SOURCE_NAME,ID,LANGUAGE_ID,FEATURE_ID,SOURCE
Abkhaz,Not predictable,Hewitt 1979,http://wals.info/valuesets/15A-abk,http://wals.info/languoid/lect/wals_code_abk,http://wals.info/feature/15A,http://wals.info/refdb/record/Hewitt-1979
Acehnese,Fixed stress (no weight-sensitivity),Durie 1985;van Langen 1889;Cowan 1981[522-549];Durie 1995,http://wals.info/valuesets/15A-ace,http://wals.info/languoid/lect/wals_code_ace,http://wals.info/feature/15A,http://wals.info/refdb/record/Durie-1985;http://wals.info/refdb/record/van-Langen-1889;http://wals.info/refdb/record/Cowan-1981[522-549];http://wals.info/refdb/record/Durie-1995
Achagua,Fixed stress (no weight-sensitivity),Wilson and Levinsohn 1992,http://wals.info/valuesets/15A-acg,http://wals.info/languoid/lect/wals_code_acg,http://wals.info/feature/15A,http://wals.info/refdb/record/Wilson-and-Levinsohn-1992
Aguacatec,Unbounded: Stress can be anywhere,McArthur and McArthur 1956[72-76],http://wals.info/valuesets/15A-agu,http://wals.info/languoid/lect/wals_code_agu,http://wals.info/feature/15A,http://wals.info/refdb/record/McArthur-and-McArthur-1956[72-76]
Aklanon,Right-edge: Ultimate or penultimate,Chai 1971,http://wals.info/valuesets/15A-akl,http://wals.info/languoid/lect/wals_code_akl,http://wals.info/feature/15A,http://wals.info/refdb/record/Chai-1971
Alamblak,Combined: Right-edge and unbounded,Bruce 1984,http://wals.info/valuesets/15A-ala,http://wals.info/languoid/lect/wals_code_ala,http://wals.info/feature/15A,http://wals.info/refdb/record/Bruce-1984
Alawa,Fixed stress (no weight-sensitivity),Sharpe 1972,http://wals.info/valuesets/15A-alw,http://wals.info/languoid/lect/wals_code_alw,http://wals.info/feature/15A,http://wals.info/refdb/record/Sharpe-1972
Alune,Fixed stress (no weight-sensitivity),Taguchi and Taguchi 1990[95-127],http://wals.info/valuesets/15A-aln,http://wals.info/languoid/lect/wals_code_aln,http://wals.info/feature/15A,http://wals.info/refdb/record/Taguchi-and-Taguchi-1990[95-127]
Alutiiq,Left-edge: First or second,Leer 1985a;Krauss 1985;Leer 1985b,http://wals.info/valuesets/15A-atq,http://wals.info/languoid/lect/wals_code_atq,http://wals.info/feature/15A,http://wals.info/refdb/record/Leer-1985a;http://wals.info/refdb/record/Krauss-1985;http://wals.info/refdb/record/Leer-1985b
Alyawarra,Fixed stress (no weight-sensitivity),Yallop 1977,http://wals.info/valuesets/15A-aly,http://wals.info/languoid/lect/wals_code_aly,http://wals.info/feature/15A,http://wals.info/refdb/record/Yallop-1977
Amele,Unbounded: Stress can be anywhere,Roberts 1987,http://wals.info/valuesets/15A-ame,http://wals.info/languoid/lect/wals_code_ame,http://wals.info/feature/15A,http://wals.info/refdb/record/Roberts-1987
Anguthimri,Fixed stress (no weight-sensitivity),Crowley 1981,http://wals.info/valuesets/15A-agt,http://wals.info/languoid/lect/wals_code_agt,http://wals.info/feature/15A,http://wals.info/refdb/record/Crowley-1981
Apurinã,Right-edge: Ultimate or penultimate,Facundes 2000,http://wals.info/valuesets/15A-apu,http://wals.info/languoid/lect/wals_code_apu,http://wals.info/feature/15A,http://wals.info/refdb/record/Facundes-2000
Arabic (Bani-Hassan),Unbounded: Stress can be anywhere,Irshied and Kenstowicz 1984[109-148],http://wals.info/valuesets/15A-ahs,http://wals.info/languoid/lect/wals_code_ahs,http://wals.info/feature/15A,http://wals.info/refdb/record/Irshied-and-Kenstowicz-1984[109-148]
