LANGUAGE_NAME,VALUE,SOURCE_NAME,ID,LANGUAGE_ID,FEATURE_ID,SOURCE
Abkhaz,Differentiated,"Hewitt 1979[58-59, 77ff.]",http://wals.info/valuesets/47A-abk,http://wals.info/languoid/lect/wals_code_abk,http://wals.info/feature/47A,"http://wals.info/refdb/record/Hewitt-1979[58-59, 77ff.]"
Afrikaans,Identical,Donaldson 1993[290-298],http://wals.info/valuesets/47A-afr,http://wals.info/languoid/lect/wals_code_afr,http://wals.info/feature/47A,http://wals.info/refdb/record/Donaldson-1993[290-298]
Alamblak,Identical,"Bruce 1984[75-76, 233]",http://wals.info/valuesets/47A-ala,http://wals.info/languoid/lect/wals_code_ala,http://wals.info/feature/47A,"http://wals.info/refdb/record/Bruce-1984[75-76, 233]"
Amele,Identical,,http://wals.info/valuesets/47A-ame,http://wals.info/languoid/lect/wals_code_ame,http://wals.info/feature/47A,
Amharic,Identical,Leslau 1995[58],http://wals.info/valuesets/47A-amh,http://wals.info/languoid/lect/wals_code_amh,http://wals.info/feature/47A,http://wals.info/refdb/record/Leslau-1995[58]
Apurinã,Differentiated,Facundes 2000,http://wals.info/valuesets/47A-apu,http://wals.info/languoid/lect/wals_code_apu,http://wals.info/feature/47A,http://wals.info/refdb/record/Facundes-2000
Arabic (Gulf),Identical,Holes 1990[76ff.],http://wals.info/valuesets/47A-arg,http://wals.info/languoid/lect/wals_code_arg,http://wals.info/feature/47A,http://wals.info/refdb/record/Holes-1990[76ff.]
Armenian (Eastern),Identical,,http://wals.info/valuesets/47A-arm,http://wals.info/languoid/lect/wals_code_arm,http://wals.info/feature/47A,
Asmat,Identical,Voorhoeve 1965[148],http://wals.info/valuesets/47A-asm,http://wals.info/languoid/lect/wals_code_asm,http://wals.info/feature/47A,http://wals.info/refdb/record/Voorhoeve-1965[148]
Awa Pit,Differentiated,"Curnow 1997[116-117, 378-379]",http://wals.info/valuesets/47A-awp,http://wals.info/languoid/lect/wals_code_awp,http://wals.info/feature/47A,"http://wals.info/refdb/record/Curnow-1997[116-117, 378-379]"
Bagirmi,Identical,Stevenson 1969,http://wals.info/valuesets/47A-bag,http://wals.info/languoid/lect/wals_code_bag,http://wals.info/feature/47A,http://wals.info/refdb/record/Stevenson-1969
Bagvalal,Identical,,http://wals.info/valuesets/47A-bgv,http://wals.info/languoid/lect/wals_code_bgv,http://wals.info/feature/47A,
Basque,Differentiated,Saltarelli et al. 1988[104ff.],http://wals.info/valuesets/47A-bsq,http://wals.info/languoid/lect/wals_code_bsq,http://wals.info/feature/47A,http://wals.info/refdb/record/Saltarelli-et-al-1988[104ff.]
