LANGUAGE_NAME,VALUE,SOURCE_NAME,ID,LANGUAGE_ID,FEATURE_ID,SOURCE
Abkhaz,Indirect-object construction,Hewitt 1979[105],http://wals.info/valuesets/105A-abk,http://wals.info/languoid/lect/wals_code_abk,http://wals.info/feature/105A,http://wals.info/refdb/record/Hewitt-1979[105]
Abun,Indirect-object construction,"Berry and Berry 1999[52, 83]",http://wals.info/valuesets/105A-abu,http://wals.info/languoid/lect/wals_code_abu,http://wals.info/feature/105A,"http://wals.info/refdb/record/Berry-and-Berry-1999[52, 83]"
Acehnese,Mixed,"Durie 1985[48, 175, 182]",http://wals.info/valuesets/105A-ace,http://wals.info/languoid/lect/wals_code_ace,http://wals.info/feature/105A,"http://wals.info/refdb/record/Durie-1985[48, 175, 182]"
Ainu,Secondary-object construction,"Refsing 1986[126, 164, 166];Shibatani 1990[29, 34]",http://wals.info/valuesets/105A-ain,http://wals.info/languoid/lect/wals_code_ain,http://wals.info/feature/105A,"http://wals.info/refdb/record/Refsing-1986[126, 164, 166];http://wals.info/refdb/record/Shibatani-1990[29, 34]"
Akan,Double-object construction,Saah and Eze 1997[139],http://wals.info/valuesets/105A-akn,http://wals.info/languoid/lect/wals_code_akn,http://wals.info/feature/105A,http://wals.info/refdb/record/Saah-and-Eze-1997[139]
Akawaio,Secondary-object construction,Stefanowitsch 2002[342],http://wals.info/valuesets/105A-akw,http://wals.info/languoid/lect/wals_code_akw,http://wals.info/feature/105A,http://wals.info/refdb/record/Stefanowitsch-2002[342]
Akha,Indirect-object construction,Hansson 2003[243],http://wals.info/valuesets/105A-akh,http://wals.info/languoid/lect/wals_code_akh,http://wals.info/feature/105A,http://wals.info/refdb/record/Hansson-2003[243]
Ala'ala,Secondary-object construction,Ross 2002d[357],http://wals.info/valuesets/105A-all,http://wals.info/languoid/lect/wals_code_all,http://wals.info/feature/105A,http://wals.info/refdb/record/Ross-2002d[357]
Alamblak,Secondary-object construction,"Bruce 1984[174, 187]",http://wals.info/valuesets/105A-ala,http://wals.info/languoid/lect/wals_code_ala,http://wals.info/feature/105A,"http://wals.info/refdb/record/Bruce-1984[174, 187]"
Aleut,Indirect-object construction,,http://wals.info/valuesets/105A-ale,http://wals.info/languoid/lect/wals_code_ale,http://wals.info/feature/105A,
Alyawarra,Mixed,Yallop 1977[80],http://wals.info/valuesets/105A-aly,http://wals.info/languoid/lect/wals_code_aly,http://wals.info/feature/105A,http://wals.info/refdb/record/Yallop-1977[80]
Ambae (Lolovoli Northeast),Indirect-object construction,Hyslop 2001[146],http://wals.info/valuesets/105A-aml,http://wals.info/languoid/lect/wals_code_aml,http://wals.info/feature/105A,http://wals.info/refdb/record/Hyslop-2001[146]
Amele,Indirect-object construction,"Roberts 1987[89, 120, 161, 281, 316]",http://wals.info/valuesets/105A-ame,http://wals.info/languoid/lect/wals_code_ame,http://wals.info/feature/105A,"http://wals.info/refdb/record/Roberts-1987[89, 120, 161, 281, 316]"
Amharic,Double-object construction,,http://wals.info/valuesets/105A-amh,http://wals.info/languoid/lect/wals_code_amh,http://wals.info/feature/105A,
Anong,Indirect-object construction,,http://wals.info/valuesets/105A-ano,http://wals.info/languoid/lect/wals_code_ano,http://wals.info/feature/105A,
Apurinã,Mixed,"Facundes 2000[289-92, 302, 471-2, 482, 500]",http://wals.info/valuesets/105A-apu,http://wals.info/languoid/lect/wals_code_apu,http://wals.info/feature/105A,"http://wals.info/refdb/record/Facundes-2000[289-92, 302, 471-2, 482, 500]"
Arabic (Egyptian),Mixed,"Wise 1975[4];Mitchell 1962[85, 97, 99];Gary and Gamal-Eldin 1982[59-61]",http://wals.info/valuesets/105A-aeg,http://wals.info/languoid/lect/wals_code_aeg,http://wals.info/feature/105A,"http://wals.info/refdb/record/Wise-1975[4];http://wals.info/refdb/record/Mitchell-1962[85, 97, 99];http://wals.info/refdb/record/Gary-and-Gamal-Eldin-1982[59-61]"
Araona,Double-object construction,"Pitman 1980[9, 14, 24, 39, 43, 46]",http://wals.info/valuesets/105A-ana,http://wals.info/languoid/lect/wals_code_ana,http://wals.info/feature/105A,"http://wals.info/refdb/record/Pitman-1980[9, 14, 24, 39, 43, 46]"
Arawak,Indirect-object construction,"Pet 1987[55-6, 65, 84, 109-11]",http://wals.info/valuesets/105A-ara,http://wals.info/languoid/lect/wals_code_ara,http://wals.info/feature/105A,"http://wals.info/refdb/record/Pet-1987[55-6, 65, 84, 109-11]"
Arop-Lokep,Indirect-object construction,D'Jernes 2002[264],http://wals.info/valuesets/105A-alk,http://wals.info/languoid/lect/wals_code_alk,http://wals.info/feature/105A,http://wals.info/refdb/record/DJernes-2002[264]
Arrernte (Mparntwe),Mixed,"Wilkins 1989[169, 223]",http://wals.info/valuesets/105A-amp,http://wals.info/languoid/lect/wals_code_amp,http://wals.info/feature/105A,"http://wals.info/refdb/record/Wilkins-1989[169, 223]"
Awa Pit,Indirect-object construction,"Curnow 1997[73-4, 101-2]",http://wals.info/valuesets/105A-awp,http://wals.info/languoid/lect/wals_code_awp,http://wals.info/feature/105A,"http://wals.info/refdb/record/Curnow-1997[73-4, 101-2]"
Babungo,Mixed,"Schaub 1985[56, 60, 141, 144]",http://wals.info/valuesets/105A-bab,http://wals.info/languoid/lect/wals_code_bab,http://wals.info/feature/105A,"http://wals.info/refdb/record/Schaub-1985[56, 60, 141, 144]"
Badimaya,Indirect-object construction,"Dunn 1988[69, 107]",http://wals.info/valuesets/105A-bdm,http://wals.info/languoid/lect/wals_code_bdm,http://wals.info/feature/105A,"http://wals.info/refdb/record/Dunn-1988[69, 107]"
Bagirmi,Indirect-object construction,"Stevenson 1969[42, 62, 64, 86]",http://wals.info/valuesets/105A-bag,http://wals.info/languoid/lect/wals_code_bag,http://wals.info/feature/105A,"http://wals.info/refdb/record/Stevenson-1969[42, 62, 64, 86]"
Bai,Indirect-object construction,Wiersma 2003[671],http://wals.info/valuesets/105A-bai,http://wals.info/languoid/lect/wals_code_bai,http://wals.info/feature/105A,http://wals.info/refdb/record/Wiersma-2003[671]
Bajau (Sama),Double-object construction,Donohue 1996[787],http://wals.info/valuesets/105A-baj,http://wals.info/languoid/lect/wals_code_baj,http://wals.info/feature/105A,http://wals.info/refdb/record/Donohue-1996[787]
Baka (in Cameroon),Indirect-object construction,Kilian-Hatz 1995[271],http://wals.info/valuesets/105A-bak,http://wals.info/languoid/lect/wals_code_bak,http://wals.info/feature/105A,http://wals.info/refdb/record/Kilian-Hatz-1995[271]
Banoni,Secondary-object construction,Lynch and Ross 2002[453],http://wals.info/valuesets/105A-bnn,http://wals.info/languoid/lect/wals_code_bnn,http://wals.info/feature/105A,http://wals.info/refdb/record/Lynch-and-Ross-2002[453]
Barasano,Secondary-object construction,"Jones and Jones 1991[27, 35, 67, 102, 109]",http://wals.info/valuesets/105A-brs,http://wals.info/languoid/lect/wals_code_brs,http://wals.info/feature/105A,"http://wals.info/refdb/record/Jones-and-Jones-1991[27, 35, 67, 102, 109]"
Baré,Indirect-object construction,Aikhenvald 1996[25-6],http://wals.info/valuesets/105A-bae,http://wals.info/languoid/lect/wals_code_bae,http://wals.info/feature/105A,http://wals.info/refdb/record/Aikhenvald-1996[25-6]
Basque,Indirect-object construction,Saltarelli et al. 1988[148-9],http://wals.info/valuesets/105A-bsq,http://wals.info/languoid/lect/wals_code_bsq,http://wals.info/feature/105A,http://wals.info/refdb/record/Saltarelli-et-al-1988[148-9]
Bauzi,Indirect-object construction,"Briley 1997[26, 58]",http://wals.info/valuesets/105A-bzi,http://wals.info/languoid/lect/wals_code_bzi,http://wals.info/feature/105A,"http://wals.info/refdb/record/Briley-1997[26, 58]"
Bawm,Mixed,"Reichle 1981[93, 103, 122, 149, 157-8, 161]",http://wals.info/valuesets/105A-baw,http://wals.info/languoid/lect/wals_code_baw,http://wals.info/feature/105A,"http://wals.info/refdb/record/Reichle-1981[93, 103, 122, 149, 157-8, 161]"
Belhare,Secondary-object construction,Bickel 2003[565],http://wals.info/valuesets/105A-bel,http://wals.info/languoid/lect/wals_code_bel,http://wals.info/feature/105A,http://wals.info/refdb/record/Bickel-2003[565]
Bella Coola,Secondary-object construction,Davis and Saunders 1997,http://wals.info/valuesets/105A-bco,http://wals.info/languoid/lect/wals_code_bco,http://wals.info/feature/105A,http://wals.info/refdb/record/Davis-and-Saunders-1997
Berber (Figuig),Indirect-object construction,Kossmann 1997,http://wals.info/valuesets/105A-bfg,http://wals.info/languoid/lect/wals_code_bfg,http://wals.info/feature/105A,http://wals.info/refdb/record/Kossmann-1997
